fetched_at,source,source_url,fund_code,etf_code,as_of_datetime,edit_datetime,asset_code,stock_code,stock_name,currency,shares,market_value,weight_pct
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,6805,富世達,NTD,700000.0,1029000000.0,0.6
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,1560,中砂,NTD,1350000.0,905850000.0,0.53
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,6239,力成,NTD,3740000.0,891990000.0,0.52
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,2337,旺宏,NTD,7498000.0,828529000.0,0.48
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,2317,鴻海,NTD,3200000.0,809600000.0,0.47
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,1303,南亞,NTD,4587000.0,756855000.0,0.44
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,3008,大立光,NTD,170000.0,673200000.0,0.39
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,3211,順達,NTD,2000000.0,618000000.0,0.36
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,3583,辛耘,NTD,900000.0,603000000.0,0.35
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,4966,譜瑞-KY,NTD,800000.0,460800000.0,0.27
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,8358,金居,NTD,1312000.0,429680000.0,0.25
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,2049,上銀,NTD,1010000.0,335320000.0,0.19
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,6442,光聖,NTD,225000.0,285750000.0,0.17
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,2404,漢唐,NTD,250000.0,276250000.0,0.16
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,6415,矽力*-KY,NTD,624000.0,264888000.0,0.15
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,6515,穎崴,NTD,29000.0,181250000.0,0.11
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,3264,欣銓,NTD,700000.0,131250000.0,0.08
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,3450,聯鈞,NTD,337000.0,137833000.0,0.08
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,2481,強茂,NTD,869000.0,112101000.0,0.07
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,2455,全新,NTD,336000.0,107856000.0,0.06
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,6285,啟碁,NTD,250000.0,59750000.0,0.03
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,1717,長興,NTD,500000.0,30850000.0,0.02
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,8299,群聯,NTD,1000.0,1760000.0,0.0
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,6196,帆宣,NTD,1000.0,494000.0,0.0
2026-08-03T23:59:55+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-03,2026-08-03T16:35:13,ST,5347,世界,NTD,1000.0,151000.0,0.0
