fetched_at,source,source_url,fund_code,etf_code,as_of_datetime,edit_datetime,asset_code,stock_code,stock_name,currency,shares,market_value,weight_pct,position,contract_month
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,2330,台積電,NTD,10500000.0,25095000000.0,15.99,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,3017,奇鋐,NTD,3150000.0,10395000000.0,6.62,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,2454,聯發科,NTD,2110000.0,9157400000.0,5.84,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,2383,台光電,NTD,1600000.0,8464000000.0,5.39,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,3037,欣興,NTD,8460000.0,7808580000.0,4.98,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,3653,健策,NTD,1115000.0,6260725000.0,3.99,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,2303,聯電,NTD,50000000.0,6250000000.0,3.98,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,3008,大立光,NTD,810000.0,5791500000.0,3.69,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,6223,旺矽,NTD,1100000.0,5549500000.0,3.54,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,6669,緯穎,NTD,2087956.0,5167691100.0,3.29,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,2308,台達電,NTD,2750000.0,4840000000.0,3.08,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,2345,智邦,NTD,2307000.0,4821630000.0,3.07,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,2327,國巨*,NTD,8000000.0,4088000000.0,2.61,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,3443,創意,NTD,650000.0,3770000000.0,2.4,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,5274,信驊,NTD,210500.0,3757425000.0,2.39,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,1303,南亞,NTD,13500000.0,2983500000.0,1.9,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,8046,南電,NTD,2640000.0,2851200000.0,1.82,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,3665,貿聯-KY,NTD,1293000.0,2715300000.0,1.73,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,3711,日月光投控,NTD,4500000.0,2650500000.0,1.69,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,3189,景碩,NTD,3400000.0,2635000000.0,1.68,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,6488,環球晶,NTD,2800000.0,2595600000.0,1.65,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,6274,台燿,NTD,1900000.0,2555500000.0,1.63,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,8996,高力,NTD,1737000.0,2058345000.0,1.31,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,2360,致茂,NTD,1000000.0,2015000000.0,1.28,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,6239,力成,NTD,5360000.0,1474000000.0,0.94,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,6805,富世達,NTD,650000.0,1361750000.0,0.87,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,2344,華邦電,NTD,5000000.0,845000000.0,0.54,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,2317,鴻海,NTD,3200000.0,792000000.0,0.5,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,7769,鴻勁,NTD,130000.0,763100000.0,0.49,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,3211,順達,NTD,2000000.0,750000000.0,0.48,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,6442,光聖,NTD,350000.0,619500000.0,0.39,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,3450,聯鈞,NTD,1100000.0,609400000.0,0.39,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,3583,辛耘,NTD,800000.0,593600000.0,0.38,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,2059,川湖,NTD,35000.0,470750000.0,0.3,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,2882,國泰金,NTD,4000000.0,450000000.0,0.29,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,2449,京元電子,NTD,1700000.0,443700000.0,0.28,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,3533,嘉澤,NTD,250000.0,417500000.0,0.27,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,2404,漢唐,NTD,250000.0,258750000.0,0.16,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,1717,長興,NTD,3100000.0,238080000.0,0.15,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,2337,旺宏,NTD,2000000.0,234000000.0,0.15,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,1560,中砂,NTD,300000.0,213300000.0,0.14,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,2455,全新,NTD,386000.0,202650000.0,0.13,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,2481,強茂,NTD,1351000.0,210756000.0,0.13,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,8358,金居,NTD,400000.0,188000000.0,0.12,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,3264,欣銓,NTD,700000.0,158200000.0,0.1,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,2301,光寶科,NTD,300000.0,89700000.0,0.06,,
2026-09-03T23:01:34+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-09-03,2026-09-03T16:34:44,ST,6285,啟碁,NTD,350000.0,81725000.0,0.05,,
