fetched_at,source,source_url,fund_code,etf_code,as_of_datetime,edit_datetime,asset_code,stock_code,stock_name,currency,shares,market_value,weight_pct
2026-07-14T10:20:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-07-13,2026-07-13T16:31:32,ST,AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),USD,205000.0,112077600.0,5.75
2026-07-14T10:20:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-07-13,2026-07-13T16:31:32,ST,285A JP,KIOXIA HOLDINGS CORP,JPY,225000.0,17518500000.0,5.54
2026-07-14T10:20:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-07-13,2026-07-13T16:31:32,ST,MU US,MICRON TECHNOLOGY INC,USD,106000.0,105113840.0,5.39
2026-07-14T10:20:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-07-13,2026-07-13T16:31:32,ST,SNDK US,SANDISK CORP,USD,48000.0,89196960.0,4.58
2026-07-14T10:20:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-07-13,2026-07-13T16:31:32,ST,009150 KS,Samsung Electro-Mechanics co(009150 ks),KRW,83000.0,125496000000.0,4.27
2026-07-14T10:20:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-07-13,2026-07-13T16:31:32,ST,AMAT US,APPLIED MATERIALS INC,USD,125000.0,73582500.0,3.78
2026-07-14T10:20:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-07-13,2026-07-13T16:31:32,ST,6981 JP,MURATA MANUFACTURING CO LTD,JPY,1250000.0,11843750000.0,3.74
2026-07-14T10:20:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-07-13,2026-07-13T16:31:32,ST,6976 JP,TAIYO YUDEN CO LTD,JPY,760000.0,11156800000.0,3.53
2026-07-14T10:20:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-07-13,2026-07-13T16:31:32,ST,2327,國巨*,NTD,2400000.0,2160000000.0,3.44
2026-07-14T10:20:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-07-13,2026-07-13T16:31:32,ST,BE US,BLOOM ENERGY CORP- A,USD,250000.0,64255000.0,3.3
2026-07-14T10:20:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-07-13,2026-07-13T16:31:32,ST,3037,欣興,NTD,2200000.0,1925000000.0,3.07
2026-07-14T10:20:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-07-13,2026-07-13T16:31:32,ST,MRVL US,MARVELL TECHNOLOGY INC,USD,230000.0,55952100.0,2.87
2026-07-14T10:20:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-07-13,2026-07-13T16:31:32,ST,2454,聯發科,NTD,445000.0,1746625000.0,2.78
2026-07-14T10:20:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-07-13,2026-07-13T16:31:32,ST,2383,台光電,NTD,330000.0,1747350000.0,2.78
2026-07-14T10:20:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-07-13,2026-07-13T16:31:32,ST,IFX GY,INFINEON TECHNOLOGIES AG,EUR,625000.0,45843750.0,2.69
2026-07-14T10:20:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-07-13,2026-07-13T16:31:32,ST,WDC US,WESTERN DIGITAL CORP,USD,90000.0,52024500.0,2.67
2026-07-14T10:20:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-07-13,2026-07-13T16:31:32,ST,8035 JP,TOKYO ELECTRON LTD,JPY,110000.0,7816600000.0,2.47
