fetched_at,source,source_url,fund_code,etf_code,as_of_datetime,edit_datetime,asset_code,stock_code,stock_name,currency,shares,market_value,weight_pct,position,contract_month
2026-08-13T20:02:05+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-13,2026-08-13T16:58:30,ST,2330,台積電,NTD,12000000.0,29220000000.0,16.05,,
2026-08-13T20:02:05+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-13,2026-08-13T16:58:30,ST,3017,奇鋐,NTD,3515000.0,11248000000.0,6.18,,
2026-08-13T20:02:05+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-13,2026-08-13T16:58:30,ST,2303,聯電,NTD,79000000.0,9835500000.0,5.4,,
2026-08-13T20:02:05+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-13,2026-08-13T16:58:30,ST,2383,台光電,NTD,1635000.0,9303150000.0,5.11,,
2026-08-13T20:02:05+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-13,2026-08-13T16:58:30,ST,2454,聯發科,NTD,2040000.0,8619000000.0,4.73,,
2026-08-13T20:02:05+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-13,2026-08-13T16:58:30,ST,3037,欣興,NTD,8460000.0,8460000000.0,4.65,,
2026-08-13T20:02:05+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-13,2026-08-13T16:58:30,ST,6223,旺矽,NTD,1060000.0,6884700000.0,3.78,,
2026-08-13T20:02:05+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-13,2026-08-13T16:58:30,ST,2327,國巨*,NTD,9785000.0,6477670000.0,3.56,,
2026-08-13T20:02:05+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-13,2026-08-13T16:58:30,ST,2308,台達電,NTD,3040000.0,5730400000.0,3.15,,
2026-08-13T20:02:05+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-08-13,2026-08-13T16:58:30,ST,2345,智邦,NTD,2307000.0,5236890000.0,2.88,,
