fetched_at,source,source_url,fund_code,etf_code,as_of_datetime,edit_datetime,asset_code,stock_code,stock_name,currency,shares,market_value,weight_pct,position,contract_month
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,8210,勤誠,NTD,1902000.0,1742232000.0,0.61,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,4958,臻鼎-KY,NTD,2712000.0,1361424000.0,0.48,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,3264,欣銓,NTD,5028000.0,1171524000.0,0.41,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,8996,高力,NTD,745000.0,1002025000.0,0.35,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,6515,穎崴,NTD,95000.0,691600000.0,0.24,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,6278,台表科,NTD,3248000.0,628488000.0,0.22,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,4979,華星光,NTD,924000.0,563640000.0,0.2,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,6271,同欣電,NTD,2222000.0,503283000.0,0.18,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,3376,新日興,NTD,1740000.0,358440000.0,0.13,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,6191,精成科,NTD,3988000.0,331402800.0,0.12,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,2368,金像電,NTD,219000.0,240900000.0,0.08,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,2313,華通,NTD,501000.0,114228000.0,0.04,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,2002,中鋼,NTD,5163000.0,99387750.0,0.03,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,8358,金居,NTD,1000.0,526000.0,0.0,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,3661,世芯-KY,NTD,1000.0,3905000.0,0.0,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,2439,美律,NTD,1000.0,74900.0,0.0,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,1590,亞德客-KY,NTD,1000.0,1330000.0,0.0,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,3008,大立光,NTD,1000.0,6870000.0,0.0,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,2382,廣達,NTD,1000.0,342000.0,0.0,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,6187,萬潤,NTD,1000.0,1330000.0,0.0,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,2408,南亞科,NTD,1000.0,523000.0,0.0,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,2637,慧洋-KY,NTD,1000.0,100500.0,0.0,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,2360,致茂,NTD,1000.0,2335000.0,0.0,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,6488,環球晶,NTD,1000.0,955000.0,0.0,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,4966,譜瑞-KY,NTD,1000.0,550000.0,0.0,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,8150,南茂,NTD,1000.0,91500.0,0.0,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,2317,鴻海,NTD,1000.0,252000.0,0.0,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,5347,世界,NTD,1000.0,157000.0,0.0,,
2026-09-09T23:08:53+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-09-09,2026-09-09T16:59:01,ST,2481,強茂,NTD,5000.0,760000.0,0.0,,
