fetched_at,source,source_url,fund_code,etf_code,query_date,as_of_datetime,edit_datetime,asset_code,stock_code,stock_name,currency,shares,market_value,weight_pct
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,2330,台灣積體,NTD,3800000,9500000000,11.987
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,2408,南亞科技,NTD,13500000,6952500000,8.772
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,2383,台光電子,NTD,1380000,6927600000,8.741
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,2059,川湖科技,NTD,490000,6071100000,7.660
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,3037,欣興電子,NTD,5100000,5916000000,7.465
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,2454,聯發科技,NTD,1080000,5599800000,7.066
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,3017,奇鋐科技,NTD,1250000,4337500000,5.473
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,8046,南亞電路,NTD,3300000,3993000000,5.038
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,3189,景碩科技,NTD,4250000,3850500000,4.858
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,2327,國巨股份,NTD,6700000,3839100000,4.844
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,5274,信驊科技,NTD,140500,2849340000,3.595
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,6669,緯穎科技,NTD,1150020,2420792100,3.054
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,3081,聯亞光電,NTD,900000,2412000000,3.043
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,3026,禾伸堂企,NTD,2700000,2073600000,2.616
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,3653,健策精密,NTD,290000,1858900000,2.345
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,2303,聯華電子,NTD,10400000,1664000000,2.100
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,2308,台達電子,NTD,871000,1654900000,2.088
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,3711,日月光投,NTD,2350000,1628550000,2.055
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,6223,旺矽科技,NTD,280000,1573600000,1.986
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,1303,南亞塑膠,NTD,6700000,1524250000,1.923
2026-09-23T23:27:59+08:00,fhtrust_assets,https://www.fhtrust.com.tw/api/assetsExcel/ETF23/20260923,ETF23,00991A,2026-09-23,2026-09-23,,ST,2345,智邦科技,NTD,800000,1512000000,1.908
