fetched_at,source,source_url,fund_code,etf_code,as_of_datetime,edit_datetime,asset_code,stock_code,stock_name,currency,shares,market_value,weight_pct
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,2330,台積電,NTD,10740000.0,26044500000.0,9.04
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,2383,台光電,NTD,4715000.0,22372675000.0,7.77
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,2454,聯發科,NTD,5200000.0,18486000000.0,6.42
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,3037,欣興,NTD,17833000.0,14034571000.0,4.87
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,6669,緯穎,NTD,2564000.0,13819960000.0,4.8
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,2345,智邦,NTD,6419000.0,13640375000.0,4.74
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,3017,奇鋐,NTD,5666000.0,13145120000.0,4.56
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,6223,旺矽,NTD,2443000.0,12899040000.0,4.48
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,2327,國巨*,NTD,25437000.0,12769374000.0,4.43
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,3665,貿聯-KY,NTD,5130848.0,10774780800.0,3.74
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,2303,聯電,NTD,87718000.0,10613878000.0,3.69
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,2308,台達電,NTD,5932000.0,9728480000.0,3.38
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,3711,日月光投控,NTD,16327000.0,9061485000.0,3.15
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,8046,南電,NTD,9519000.0,8757480000.0,3.04
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,3653,健策,NTD,2375000.0,8181875000.0,2.84
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,5274,信驊,NTD,454900.0,6607422500.0,2.29
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,2368,金像電,NTD,7579000.0,6010147000.0,2.09
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,6274,台燿,NTD,5229000.0,5804190000.0,2.02
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,6805,富世達,NTD,1957000.0,2641950000.0,0.92
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,8210,勤誠,NTD,2297000.0,2400365000.0,0.83
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,2449,京元電子,NTD,7543450.0,1685961075.0,0.59
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,6187,萬潤,NTD,1334000.0,1239286000.0,0.43
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,2360,致茂,NTD,348000.0,730800000.0,0.25
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,1590,亞德客-KY,NTD,528000.0,699600000.0,0.24
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,4958,臻鼎-KY,NTD,1682000.0,695507000.0,0.24
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,4979,華星光,NTD,1874000.0,693380000.0,0.24
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,6510,精測,NTD,261000.0,651195000.0,0.23
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,6515,穎崴,NTD,93000.0,540795000.0,0.19
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,6278,台表科,NTD,3250000.0,455000000.0,0.16
2026-08-01T17:16:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-07-31,2026-07-31T18:01:26,ST,6271,同欣電,NTD,2224000.0,355840000.0,0.12
