fetched_at,source,source_url,fund_code,etf_code,as_of_datetime,edit_datetime,asset_code,stock_code,stock_name,currency,shares,market_value,weight_pct,position,contract_month
2026-08-17T00:18:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-08-14,2026-08-14T16:26:59,ST,2383,台光電,NTD,4863000.0,29980395000.0,9.6,,
2026-08-17T00:18:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-08-14,2026-08-14T16:26:59,ST,2330,台積電,NTD,12134000.0,29060930000.0,9.3,,
2026-08-17T00:18:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-08-14,2026-08-14T16:26:59,ST,2454,聯發科,NTD,5448000.0,22936080000.0,7.34,,
2026-08-17T00:18:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-08-14,2026-08-14T16:26:59,ST,3037,欣興,NTD,20210000.0,20614200000.0,6.6,,
2026-08-17T00:18:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-08-14,2026-08-14T16:26:59,ST,3017,奇鋐,NTD,5900000.0,19086500000.0,6.11,,
2026-08-17T00:18:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-08-14,2026-08-14T16:26:59,ST,6669,緯穎,NTD,2496000.0,16061760000.0,5.14,,
2026-08-17T00:18:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-08-14,2026-08-14T16:26:59,ST,2327,國巨*,NTD,25437000.0,15821814000.0,5.06,,
2026-08-17T00:18:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-08-14,2026-08-14T16:26:59,ST,6223,旺矽,NTD,2443000.0,15732920000.0,5.04,,
2026-08-17T00:18:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-08-14,2026-08-14T16:26:59,ST,2345,智邦,NTD,6594000.0,15166200000.0,4.85,,
2026-08-17T00:18:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-08-14,2026-08-14T16:26:59,ST,2308,台達電,NTD,7070000.0,13326950000.0,4.27,,
2026-08-17T00:18:48+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-08-14,2026-08-14T16:26:59,ST,8046,南電,NTD,9634000.0,12572370000.0,4.02,,
