fetched_at,source,source_url,fund_code,etf_code,as_of_datetime,edit_datetime,asset_code,stock_code,stock_name,currency,shares,market_value,weight_pct
2026-06-02T18:11:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-06-02T18:08:35.6576733+08:00,2026-06-02T16:32:55,ST,009150 KS,Samsung Electro-Mechanics co(009150 ks),KRW,68000.0,136408000000.0,5.65
2026-06-02T18:11:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-06-02T18:08:35.6576733+08:00,2026-06-02T16:32:55,ST,MU US,MICRON TECHNOLOGY INC,USD,85500.0,88535250.0,5.52
2026-06-02T18:11:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-06-02T18:08:35.6576733+08:00,2026-06-02T16:32:55,ST,AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),USD,145000.0,73968850.0,4.62
2026-06-02T18:11:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-06-02T18:08:35.6576733+08:00,2026-06-02T16:32:55,ST,SNDK US,SANDISK CORP,USD,38000.0,66934340.0,4.18
2026-06-02T18:11:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-06-02T18:08:35.6576733+08:00,2026-06-02T16:32:55,ST,6981 JP,MURATA MANUFACTURING CO LTD,JPY,800000.0,8392000000.0,3.28
2026-06-02T18:11:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-06-02T18:08:35.6576733+08:00,2026-06-02T16:32:55,ST,2454,聯發科,NTD,350000.0,1594250000.0,3.17
2026-06-02T18:11:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-06-02T18:08:35.6576733+08:00,2026-06-02T16:32:55,ST,3037,欣興,NTD,1500000.0,1575000000.0,3.13
2026-06-02T18:11:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-06-02T18:08:35.6576733+08:00,2026-06-02T16:32:55,ST,285A JP,KIOXIA HOLDINGS CORP,JPY,110000.0,7975000000.0,3.12
2026-06-02T18:11:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-06-02T18:08:35.6576733+08:00,2026-06-02T16:32:55,ST,LITE US,LUMENTUM HOLDINGS INC,USD,55000.0,49775000.0,3.11
2026-06-02T18:11:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-06-02T18:08:35.6576733+08:00,2026-06-02T16:32:55,ST,2383,台光電,NTD,288000.0,1460160000.0,2.9
2026-06-02T18:11:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-06-02T18:08:35.6576733+08:00,2026-06-02T16:32:55,ST,BE US,BLOOM ENERGY CORP- A,USD,170000.0,46496700.0,2.9
2026-06-02T18:11:23+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=61YTW,61YTW,00988A,2026-06-02T18:08:35.6576733+08:00,2026-06-02T16:32:55,ST,IFX GY,INFINEON TECHNOLOGIES AG,EUR,475000.0,38166250.0,2.78
