fetched_at,source,source_url,fund_code,etf_code,as_of_datetime,edit_datetime,asset_code,stock_code,stock_name,currency,shares,market_value,weight_pct
2026-06-02T18:06:27+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-06-02T18:06:17.7839077+08:00,2026-06-02T16:30:56,ST,2330,台積電,NTD,11960000.0,28464800000.0,9.97
2026-06-02T18:06:27+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-06-02T18:06:17.7839077+08:00,2026-06-02T16:30:56,ST,2383,台光電,NTD,4486000.0,21801960000.0,7.64
2026-06-02T18:06:27+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-06-02T18:06:17.7839077+08:00,2026-06-02T16:30:56,ST,2454,聯發科,NTD,4263000.0,19290075000.0,6.76
2026-06-02T18:06:27+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-06-02T18:06:17.7839077+08:00,2026-06-02T16:30:56,ST,2308,台達電,NTD,6572000.0,15509920000.0,5.43
2026-06-02T18:06:27+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-06-02T18:06:17.7839077+08:00,2026-06-02T16:30:56,ST,2327,國巨*,NTD,18313000.0,15492798000.0,5.43
2026-06-02T18:06:27+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-06-02T18:06:17.7839077+08:00,2026-06-02T16:30:56,ST,2345,智邦,NTD,6231000.0,15110175000.0,5.29
2026-06-02T18:06:27+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-06-02T18:06:17.7839077+08:00,2026-06-02T16:30:56,ST,3017,奇鋐,NTD,5191000.0,14015700000.0,4.91
2026-06-02T18:06:27+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-06-02T18:06:17.7839077+08:00,2026-06-02T16:30:56,ST,6669,緯穎,NTD,2437000.0,13342575000.0,4.67
2026-06-02T18:06:27+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-06-02T18:06:17.7839077+08:00,2026-06-02T16:30:56,ST,3037,欣興,NTD,12466000.0,12154350000.0,4.26
2026-06-02T18:06:27+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,49YTW,00981A,2026-06-02T18:06:17.7839077+08:00,2026-06-02T16:30:56,ST,6223,旺矽,NTD,2169000.0,11962035000.0,4.19
