fetched_at,source,source_url,fund_code,etf_code,as_of_datetime,edit_datetime,asset_code,stock_code,stock_name,currency,shares,market_value,weight_pct
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,2330,台積電,NTD,12900000.0,32379000000.0,18.14
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,2303,聯電,NTD,72400000.0,11584000000.0,6.49
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,2327,國巨*,NTD,10050000.0,10703250000.0,5.99
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,3037,欣興,NTD,8960000.0,9004800000.0,5.04
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,2344,華邦電,NTD,38800000.0,8613600000.0,4.82
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,3017,奇鋐,NTD,3250000.0,7865000000.0,4.41
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,2383,台光電,NTD,1350000.0,7863750000.0,4.4
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,2368,金像電,NTD,4700000.0,6556500000.0,3.67
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,2454,聯發科,NTD,1320000.0,5893800000.0,3.3
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,6223,旺矽,NTD,900000.0,5782500000.0,3.24
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,2345,智邦,NTD,2100000.0,5449500000.0,3.05
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,2308,台達電,NTD,2430000.0,5224500000.0,2.93
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,4958,臻鼎-KY,NTD,6440000.0,4005680000.0,2.24
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,6669,緯穎,NTD,790000.0,3835450000.0,2.15
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,6274,台燿,NTD,1700000.0,3230000000.0,1.81
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,3653,健策,NTD,830000.0,3187200000.0,1.79
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,2337,旺宏,NTD,16350000.0,3032925000.0,1.7
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,3711,日月光投控,NTD,4500000.0,3033000000.0,1.7
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,3533,嘉澤,NTD,1240000.0,2870600000.0,1.61
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,8996,高力,NTD,1502000.0,2335610000.0,1.31
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,6488,環球晶,NTD,2000000.0,2230000000.0,1.25
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,3443,創意,NTD,430000.0,2044650000.0,1.15
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,7769,鴻勁,NTD,279000.0,1929285000.0,1.08
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,6515,穎崴,NTD,200000.0,1892000000.0,1.06
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,5347,世界,NTD,9911000.0,1897956500.0,1.06
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,6147,頎邦,NTD,5600000.0,1551200000.0,0.87
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,6442,光聖,NTD,670000.0,1396950000.0,0.78
2026-06-22T17:19:45+08:00,ezmoney,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=63YTW,63YTW,00403A,2026-06-22T17:19:07.6516739+08:00,2026-06-22T16:28:17,ST,8358,金居,NTD,1950000.0,1347450000.0,0.75
