stock_code,stock_name,etf_code,fund_code,current_increase_streak,latest_share_change,streak_total_share_change,latest_shares,latest_weight_pct,streak_start_date,latest_as_of_date,snapshot_count
3450,聯鈞,00403A,63YTW,6,200000.0,1200000.0,1200000.0,0.33,2026-07-27,2026-08-06,28
1717,長興,00403A,63YTW,5,192000.0,1250000.0,1250000.0,0.05,2026-07-31,2026-08-06,28
3189,景碩,00403A,63YTW,3,400000.0,1033000.0,4250000.0,2.02,2026-08-04,2026-08-06,28
3711,日月光投控,00403A,63YTW,1,340000.0,340000.0,7500000.0,2.48,2026-08-06,2026-08-06,28
3665,貿聯-KY,00403A,63YTW,1,99000.0,99000.0,1200000.0,1.58,2026-08-06,2026-08-06,28
2454,聯發科,00403A,63YTW,1,90000.0,90000.0,2000000.0,4.36,2026-08-06,2026-08-06,28
5274,信驊,00403A,63YTW,1,26000.0,26000.0,184500.0,1.72,2026-08-06,2026-08-06,28
1560,中砂,00403A,63YTW,0,0.0,0.0,1500000.0,0.58,,2026-08-06,28
2049,上銀,00403A,63YTW,0,0.0,0.0,1010000.0,0.2,,2026-08-06,28
2303,聯電,00403A,63YTW,0,0.0,0.0,79000000.0,5.34,,2026-08-06,28
2308,台達電,00403A,63YTW,0,0.0,0.0,3040000.0,2.84,,2026-08-06,28
2313,華通,00403A,63YTW,0,0.0,0.0,1000.0,0.0,,2026-08-06,28
2317,鴻海,00403A,63YTW,0,0.0,0.0,3200000.0,0.47,,2026-08-06,28
2327,國巨*,00403A,63YTW,0,0.0,0.0,8000000.0,2.54,,2026-08-06,28
2330,台積電,00403A,63YTW,0,0.0,0.0,12680000.0,16.69,,2026-08-06,28
2337,旺宏,00403A,63YTW,0,0.0,0.0,7498000.0,0.54,,2026-08-06,28
2344,華邦電,00403A,63YTW,0,0.0,0.0,42300000.0,4.03,,2026-08-06,28
2345,智邦,00403A,63YTW,0,0.0,0.0,2307000.0,3.09,,2026-08-06,28
2360,致茂,00403A,63YTW,0,0.0,0.0,897000.0,0.99,,2026-08-06,28
2368,金像電,00403A,63YTW,0,0.0,0.0,1800000.0,0.99,,2026-08-06,28
2383,台光電,00403A,63YTW,0,0.0,0.0,1495000.0,4.41,,2026-08-06,28
2404,漢唐,00403A,63YTW,0,0.0,0.0,250000.0,0.16,,2026-08-06,28
2455,全新,00403A,63YTW,0,0.0,0.0,336000.0,0.07,,2026-08-06,28
2481,強茂,00403A,63YTW,0,0.0,0.0,1100000.0,0.09,,2026-08-06,28
2882,國泰金,00403A,63YTW,0,0.0,0.0,1000.0,0.0,,2026-08-06,28
2891,中信金,00403A,63YTW,0,0.0,0.0,11801000.0,0.39,,2026-08-06,28
3008,大立光,00403A,63YTW,0,0.0,0.0,260000.0,0.67,,2026-08-06,28
3017,奇鋐,00403A,63YTW,0,0.0,0.0,3450000.0,5.65,,2026-08-06,28
3036,文曄,00403A,63YTW,0,0.0,0.0,1000.0,0.0,,2026-08-06,28
