stock_code,stock_name,status,share_status,weight_status,old_weight_pct,new_weight_pct,weight_change_pct,old_shares,new_shares,share_change,old_market_value,new_market_value,market_value_change,old_as_of_datetime,new_as_of_datetime
3037,欣興,股數減少,股數減少,權重降低,4.82,3.95,-0.87,241001.0,206001.0,-35000.0,0.0,0.0,0.0,2026-09-03,2026-09-04
2059,川湖,股數減少,股數減少,權重降低,6.12,5.3,-0.82,21001.0,18001.0,-3000.0,0.0,0.0,0.0,2026-09-03,2026-09-04
8046,南電,股數減少,股數減少,權重降低,3.14,2.47,-0.67,134000.0,110000.0,-24000.0,0.0,0.0,0.0,2026-09-03,2026-09-04
3017,奇鋐,股數不變,股數不變,權重增加,7.55,8.0,0.45,105500.0,105500.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
2330,台積電,股數不變,股數不變,權重降低,14.1,13.96,-0.14,271999.0,271999.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
5274,信驊,股數不變,股數不變,權重降低,2.48,2.38,-0.1,6420.0,6420.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
3653,健策,股數不變,股數不變,權重增加,3.04,3.12,0.08,25000.0,25000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
6669,緯穎,股數不變,股數不變,權重增加,4.48,4.55,0.07,83518.0,83518.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
8996,高力,股數不變,股數不變,權重增加,0.93,0.99,0.06,36000.0,36000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
3189,景碩,股數不變,股數不變,權重增加,1.6,1.65,0.05,95000.0,95000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
3443,創意,股數不變,股數不變,權重降低,2.4,2.35,-0.05,19050.0,19050.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
2308,台達電,股數不變,股數不變,權重增加,2.23,2.27,0.04,58499.0,58499.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
6805,富世達,股數不變,股數不變,權重增加,1.36,1.4,0.04,30000.0,30000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
2345,智邦,股數不變,股數不變,權重降低,2.22,2.19,-0.03,49000.0,49000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
2408,南亞科,股數不變,股數不變,權重增加,1.81,1.84,0.03,175000.0,175000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
3491,昇達科,股數不變,股數不變,權重增加,0.61,0.64,0.03,20000.0,20000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
3711,日月光投控,股數不變,股數不變,權重降低,1.05,1.02,-0.03,82002.0,82002.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
6274,台燿,股數不變,股數不變,權重降低,4.61,4.58,-0.03,158000.0,158000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
6488,環球晶,股數不變,股數不變,權重增加,0.82,0.85,0.03,41000.0,41000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
2303,聯電,股數不變,股數不變,權重增加,0.7,0.72,0.02,260000.0,260000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
2368,金像電,股數不變,股數不變,權重降低,0.38,0.36,-0.02,16000.0,16000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
2383,台光電,股數不變,股數不變,權重增加,6.77,6.79,0.02,59001.0,59001.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
2481,強茂,股數不變,股數不變,權重降低,0.98,0.96,-0.02,290000.0,290000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
3231,緯創,股數不變,股數不變,權重增加,0.45,0.47,0.02,111000.0,111000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
6187,萬潤,股數不變,股數不變,權重降低,1.1,1.08,-0.02,39000.0,39000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
2360,致茂,股數不變,股數不變,權重降低,0.31,0.3,-0.01,7000.0,7000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
2449,京元電子,股數不變,股數不變,權重降低,0.57,0.56,-0.01,100000.0,100000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
2454,聯發科,股數不變,股數不變,權重降低,6.02,6.01,-0.01,64001.0,64001.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
3045,台灣大,股數不變,股數不變,權重降低,0.39,0.38,-0.01,151000.0,151000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
3081,聯亞,股數不變,股數不變,權重降低,1.56,1.55,-0.01,23000.0,23000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
3661,世芯-KY,股數不變,股數不變,權重增加,0.35,0.36,0.01,4000.0,4000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
6239,力成,股數不變,股數不變,權重降低,1.04,1.03,-0.01,175000.0,175000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
6515,穎崴,股數不變,股數不變,權重降低,0.46,0.45,-0.01,3000.0,3000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
8436,大江,股數減少,股數減少,權重降低,0.01,0.0,-0.01,3000.0,2000.0,-1000.0,0.0,0.0,0.0,2026-09-03,2026-09-04
1303,南亞,股數不變,股數不變,權重持平,2.2,2.2,0.0,460000.0,460000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
2317,鴻海,股數不變,股數不變,權重持平,0.01,0.01,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
2801,彰銀,股數不變,股數不變,權重持平,0.02,0.02,0.0,40000.0,40000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
2882,國泰金,股數不變,股數不變,權重持平,0.32,0.32,0.0,130000.0,130000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
2886,兆豐金,股數不變,股數不變,權重持平,0.11,0.11,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
3665,貿聯-KY,股數不變,股數不變,權重持平,0.59,0.59,0.0,13000.0,13000.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
6223,旺矽,股數不變,股數不變,權重持平,3.93,3.93,0.0,35901.0,35901.0,0.0,0.0,0.0,0.0,2026-09-03,2026-09-04
