stock_code,stock_name,status,share_status,weight_status,old_weight_pct,new_weight_pct,weight_change_pct,old_shares,new_shares,share_change,old_market_value,new_market_value,market_value_change,old_as_of_datetime,new_as_of_datetime
8996,高力,股數不變,股數不變,權重增加,5.06,5.32,0.26,1630000.0,1630000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
6669,緯穎,股數不變,股數不變,權重降低,2.53,2.33,-0.2,429675.0,429675.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
2383,台光電,股數不變,股數不變,權重降低,6.06,5.93,-0.13,465000.0,465000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
2330,台積電,股數不變,股數不變,權重降低,6.78,6.66,-0.12,1116000.0,1116000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
2059,川湖,股數不變,股數不變,權重增加,6.11,6.2,0.09,205000.0,205000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
1815,富喬,股數不變,股數不變,權重增加,3.33,3.4,0.07,11420868.0,11420868.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
2345,智邦,股數不變,股數不變,權重降低,5.03,4.96,-0.07,1074000.0,1074000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
2455,全新,股數不變,股數不變,權重降低,2.85,2.78,-0.07,2150000.0,2150000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
3008,大立光,股數不變,股數不變,權重增加,4.52,4.58,0.06,293000.0,293000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
6223,旺矽,股數不變,股數不變,權重增加,3.71,3.77,0.06,268000.0,268000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
6584,南俊國際,股數不變,股數不變,權重增加,3.05,3.11,0.06,2231000.0,2231000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
3231,緯創,股數不變,股數不變,權重降低,3.37,3.33,-0.04,7245000.0,7245000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
3661,世芯-KY,股數不變,股數不變,權重降低,1.84,1.8,-0.04,215000.0,215000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
3665,貿聯-KY,股數不變,股數不變,權重降低,5.85,5.81,-0.04,1161000.0,1161000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
3017,奇鋐,股數不變,股數不變,權重增加,7.94,7.97,0.03,1001000.0,1001000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
3026,禾伸堂,股數不變,股數不變,權重增加,0.48,0.51,0.03,261000.0,261000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
3037,欣興,股數不變,股數不變,權重降低,6.01,5.98,-0.03,2482000.0,2482000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
3189,景碩,股數不變,股數不變,權重增加,1.71,1.74,0.03,844013.0,844013.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
6515,穎崴,股數不變,股數不變,權重降低,0.82,0.79,-0.03,51000.0,51000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
3443,創意,股數不變,股數不變,權重增加,2.52,2.54,0.02,164000.0,164000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
3653,健策,股數不變,股數不變,權重降低,0.45,0.43,-0.02,33000.0,33000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
4958,臻鼎-KY,股數不變,股數不變,權重增加,1.22,1.24,0.02,1000000.0,1000000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
6213,聯茂,股數不變,股數不變,權重增加,0.49,0.51,0.02,373000.0,373000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
1303,南亞,股數不變,股數不變,權重降低,3.07,3.06,-0.01,5445000.0,5445000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
2376,技嘉,股數不變,股數不變,權重增加,0.44,0.45,0.01,508000.0,508000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
2404,漢唐,股數不變,股數不變,權重降低,0.41,0.4,-0.01,155000.0,155000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
2454,聯發科,股數不變,股數不變,權重增加,1.64,1.65,0.01,145000.0,145000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
3081,聯亞,股數不變,股數不變,權重增加,0.43,0.44,0.01,63000.0,63000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
5274,信驊,股數不變,股數不變,權重增加,0.49,0.5,0.01,11000.0,11000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
6139,亞翔,股數不變,股數不變,權重降低,0.45,0.44,-0.01,250000.0,250000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
6274,台燿,股數不變,股數不變,權重增加,0.39,0.4,0.01,113000.0,113000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
8021,尖點,股數不變,股數不變,權重增加,2.95,2.96,0.01,2682000.0,2682000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
8046,南電,股數不變,股數不變,權重增加,2.67,2.68,0.01,968000.0,968000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
8150,南茂,股數不變,股數不變,權重增加,0.42,0.43,0.01,1957000.0,1957000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
2301,光寶科,股數不變,股數不變,權重持平,0.46,0.46,0.0,659000.0,659000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
2357,華碩,股數不變,股數不變,權重持平,0.46,0.46,0.0,196000.0,196000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
2360,致茂,股數不變,股數不變,權重持平,0.4,0.4,0.0,76000.0,76000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
3711,日月光投控,股數不變,股數不變,權重持平,0.38,0.38,0.0,250000.0,250000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
5289,宜鼎,股數不變,股數不變,權重持平,0.32,0.32,0.0,99952.0,99952.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
5347,世界,股數不變,股數不變,權重持平,0.25,0.25,0.0,629000.0,629000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
6187,萬潤,股數不變,股數不變,權重持平,0.41,0.41,0.0,134000.0,134000.0,0.0,0.0,0.0,0.0,2026-09-15,2026-09-16
