stock_code,stock_name,status,share_status,weight_status,old_weight_pct,new_weight_pct,weight_change_pct,old_shares,new_shares,share_change,old_market_value,new_market_value,market_value_change,old_as_of_datetime,new_as_of_datetime
2330,台灣積體,股數不變,股數不變,權重增加,11.789,12.048,0.259,3800000.0,3800000.0,0.0,9044000000.0,9063000000.0,19000000.0,2026-09-14,2026-09-15
2383,台光電子,股數不變,股數不變,權重降低,9.615,9.383,-0.232,1380000.0,1380000.0,0.0,7376100000.0,7058700000.0,-317400000.0,2026-09-14,2026-09-15
8046,南亞電路,股數不變,股數不變,權重增加,4.538,4.76,0.222,3300000.0,3300000.0,0.0,3481500000.0,3580500000.0,99000000.0,2026-09-14,2026-09-15
3017,奇鋐科技,股數不變,股數不變,權重降低,5.393,5.176,-0.217,1250000.0,1250000.0,0.0,4137500000.0,3893750000.0,-243750000.0,2026-09-14,2026-09-15
3653,健策精密,股數不變,股數不變,權重降低,2.579,2.4,-0.179,340000.0,340000.0,0.0,1978800000.0,1805400000.0,-173400000.0,2026-09-14,2026-09-15
6669,緯穎科技,股數不變,股數不變,權重增加,4.438,4.616,0.178,1500020.0,1500020.0,0.0,3405045400.0,3472546300.0,67500900.0,2026-09-14,2026-09-15
3189,景碩科技,股數不變,股數不變,權重增加,4.421,4.492,0.071,4250000.0,4250000.0,0.0,3391500000.0,3378750000.0,-12750000.0,2026-09-14,2026-09-15
2454,聯發科技,股數不變,股數不變,權重降低,5.944,5.889,-0.055,1000000.0,1000000.0,0.0,4560000000.0,4430000000.0,-130000000.0,2026-09-14,2026-09-15
3026,禾伸堂企,股數不變,股數不變,權重增加,2.573,2.606,0.033,2700000.0,2700000.0,0.0,1973700000.0,1960200000.0,-13500000.0,2026-09-14,2026-09-15
2408,南亞科技,股數不變,股數不變,權重增加,8.508,8.54,0.032,13800000.0,13800000.0,0.0,6527400000.0,6423900000.0,-103500000.0,2026-09-14,2026-09-15
6223,旺矽科技,股數不變,股數不變,權重降低,3.282,3.254,-0.028,450000.0,450000.0,0.0,2517750000.0,2448000000.0,-69750000.0,2026-09-14,2026-09-15
2059,川湖科技,股數不變,股數不變,權重降低,7.814,7.787,-0.027,500000.0,500000.0,0.0,5995000000.0,5857500000.0,-137500000.0,2026-09-14,2026-09-15
