refreshed_at,source_site,source_route,etf_code,fund_code,fund_name,category,info_url,status,row_count,weight_sum,as_of_datetime,edit_datetime,raw_html_path,csv_path,error
2026-08-18T19:43:58+08:00,EZMoney,ETF/Fund/Info DataAsset,00403A,63YTW,主動統一升級50,國內主動式,https://www.ezmoney.com.tw/ETF/Fund/Info?FundCode=63YTW#asset,ok,50,91.53,2026-08-18,2026-08-18T16:44:13,data/raw/ezmoney/20260818_194358_63YTW.html,data/processed/holdings_00403A_63YTW_20260818_194358.csv,
2026-08-18T19:43:58+08:00,EZMoney,ETF/Fund/Info DataAsset,00981A,49YTW,主動統一台股增長,國內主動式,https://www.ezmoney.com.tw/ETF/Fund/Info?FundCode=49YTW#asset,ok,50,96.79,2026-08-18,2026-08-18T15:42:14,data/raw/ezmoney/20260818_194401_49YTW.html,data/processed/holdings_00981A_49YTW_20260818_194401.csv,
2026-08-18T19:43:58+08:00,EZMoney,ETF/Fund/Info DataAsset,00988A,61YTW,主動統一全球創新,海外主動式,https://www.ezmoney.com.tw/ETF/Fund/Info?FundCode=61YTW#asset,ok,46,96.05,2026-08-17,2026-08-18T16:30:28,data/raw/ezmoney/20260818_194404_61YTW.html,data/processed/holdings_00988A_61YTW_20260818_194404.csv,
