stock_code,stock_name,status,share_status,weight_status,old_weight_pct,new_weight_pct,weight_change_pct,old_shares,new_shares,share_change,old_market_value,new_market_value,market_value_change,old_as_of_datetime,new_as_of_datetime
MSFT US,MICROSOFT CORP(微軟公司),股數減少,股數減少,權重降低,2.36,1.19,-1.17,80000.0,40000.0,-40000.0,39840000.0,20023600.0,-19816400.0,2026-09-22,2026-09-23
IREN US,IREN LTD,新增,新增,新增,0.0,0.91,0.91,0.0,325000.0,325000.0,0.0,15291250.0,15291250.0,,2026-09-23
3017,奇鋐,股數增加,股數增加,權重增加,2.78,3.31,0.53,440000.0,510000.0,70000.0,1491600000.0,1769700000.0,278100000.0,2026-09-22,2026-09-23
4979,華星光,股數減少,股數減少,權重降低,1.02,0.5,-0.52,900000.0,450000.0,-450000.0,544500000.0,265500000.0,-279000000.0,2026-09-22,2026-09-23
INTC US,INTEL CORP,股數增加,股數增加,權重增加,3.66,4.0,0.34,500399.0,550399.0,50000.0,61979420.14,67478917.4,5499497.26,2026-09-22,2026-09-23
BE US,BLOOM ENERGY CORP- A,股數增加,股數增加,權重增加,5.72,5.95,0.23,350000.0,365000.0,15000.0,96785500.0,100444350.0,3658850.0,2026-09-22,2026-09-23
3037,欣興,股數不變,股數不變,權重增加,5.44,5.64,0.2,2600000.0,2600000.0,0.0,2912000000.0,3016000000.0,104000000.0,2026-09-22,2026-09-23
SPCX US,SPACE EXPLORATION TECHN-CL A,股數不變,股數不變,權重降低,5.03,4.83,-0.2,550000.0,550000.0,0.0,85096000.0,81598000.0,-3498000.0,2026-09-22,2026-09-23
PANW US,PALO ALTO NETWORKS INC,股數不變,股數不變,權重增加,3.32,3.49,0.17,150000.0,150000.0,0.0,56185500.0,58995000.0,2809500.0,2026-09-22,2026-09-23
PLTR US,PALANTIR TECHNOLOGIES INC-A,股數不變,股數不變,權重增加,3.01,3.12,0.11,275000.0,275000.0,0.0,50872250.0,52742250.0,1870000.0,2026-09-22,2026-09-23
CRWD US,CROWDSTRIKE HOLDINGS INC - A,股數不變,股數不變,權重增加,1.93,2.03,0.1,130754.0,130754.0,0.0,32696345.24,34321617.46,1625272.22,2026-09-22,2026-09-23
MU US,MICRON TECHNOLOGY INC,股數不變,股數不變,權重降低,3.89,3.81,-0.08,60000.0,60000.0,0.0,65769600.0,64312800.0,-1456800.0,2026-09-22,2026-09-23
009150 KS,Samsung Electro-Mechanics co(009150 ks),股數不變,股數不變,權重增加,4.52,4.59,0.07,70000.0,70000.0,0.0,104020000000.0,105490000000.0,1470000000.0,2026-09-22,2026-09-23
2383,台光電,股數不變,股數不變,權重增加,2.27,2.34,0.07,250000.0,250000.0,0.0,1215000000.0,1255000000.0,40000000.0,2026-09-22,2026-09-23
OKTA US,OKTA INC,股數不變,股數不變,權重增加,1.39,1.46,0.07,120000.0,120000.0,0.0,23594400.0,24643200.0,1048800.0,2026-09-22,2026-09-23
NOW US,SERVICENOW INC,股數不變,股數不變,權重增加,1.86,1.92,0.06,230000.0,230000.0,0.0,31510000.0,32379400.0,869400.0,2026-09-22,2026-09-23
LITE US,LUMENTUM HOLDINGS INC,股數不變,股數不變,權重降低,6.54,6.49,-0.05,117000.0,117000.0,0.0,110643390.0,109629000.0,-1014390.0,2026-09-22,2026-09-23
3081,聯亞,股數不變,股數不變,權重降低,0.79,0.75,-0.04,150000.0,150000.0,0.0,423750000.0,402000000.0,-21750000.0,2026-09-22,2026-09-23
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,股數不變,股數不變,權重降低,2.02,1.98,-0.04,220000.0,220000.0,0.0,268180000.0,261800000.0,-6380000.0,2026-09-22,2026-09-23
TER US,TERADYNE INC,股數不變,股數不變,權重降低,1.65,1.61,-0.04,70000.0,70000.0,0.0,27908300.0,27239800.0,-668500.0,2026-09-22,2026-09-23
TWLO US,TWILIO INC - A,股數不變,股數不變,權重增加,1.68,1.72,0.04,100000.0,100000.0,0.0,28453000.0,29070000.0,617000.0,2026-09-22,2026-09-23
000660 KS,SK HYNIX INC,股數不變,股數不變,權重增加,2.0,2.03,0.03,25000.0,25000.0,0.0,46000000000.0,46550000000.0,550000000.0,2026-09-22,2026-09-23
HOOD US,ROBINHOOD MARKETS INC - A,股數不變,股數不變,權重降低,2.94,2.91,-0.03,400120.0,400120.0,0.0,49714910.0,49094724.0,-620186.0,2026-09-22,2026-09-23
IFX GY,INFINEON TECHNOLOGIES AG,股數不變,股數不變,權重降低,1.22,1.19,-0.03,300000.0,300000.0,0.0,18039000.0,17571000.0,-468000.0,2026-09-22,2026-09-23
NVDA US,NVIDIA CORP(輝達公司),股數不變,股數不變,權重降低,2.37,2.34,-0.03,175000.0,175000.0,0.0,40052250.0,39464250.0,-588000.0,2026-09-22,2026-09-23
SNDK US,SANDISK CORP,股數不變,股數不變,權重降低,0.78,0.75,-0.03,7000.0,7000.0,0.0,13209280.0,12715990.0,-493290.0,2026-09-22,2026-09-23
300757 CH,ROBOTECHNIK INTELLIGENT TE-A,股數不變,股數不變,權重降低,1.79,1.77,-0.02,334997.0,334997.0,0.0,202967982.36,200321506.06,-2646476.3,2026-09-22,2026-09-23
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),股數不變,股數不變,權重降低,1.84,1.82,-0.02,50000.0,50000.0,0.0,31188500.0,30730500.0,-458000.0,2026-09-22,2026-09-23
2330,台積電,股數不變,股數不變,權重增加,0.92,0.93,0.01,200000.0,200000.0,0.0,492000000.0,500000000.0,8000000.0,2026-09-22,2026-09-23
2454,聯發科,股數不變,股數不變,權重增加,3.67,3.68,0.01,380000.0,380000.0,0.0,1968400000.0,1970300000.0,1900000.0,2026-09-22,2026-09-23
992 HK,LENOVO GROUP LTD,股數不變,股數不變,權重增加,1.66,1.67,0.01,6000000.0,6000000.0,0.0,220440000.0,221520000.0,1080000.0,2026-09-22,2026-09-23
COIN US,COINBASE GLOBAL INC -CLASS A,股數不變,股數不變,權重降低,0.83,0.82,-0.01,70000.0,70000.0,0.0,14074900.0,13869100.0,-205800.0,2026-09-22,2026-09-23
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),股數不變,股數不變,權重降低,2.59,2.58,-0.01,130000.0,130000.0,0.0,43756700.0,43525300.0,-231400.0,2026-09-22,2026-09-23
2303,聯電,股數不變,股數不變,權重持平,2.9,2.9,0.0,9700000.0,9700000.0,0.0,1552000000.0,1552000000.0,0.0,2026-09-22,2026-09-23
285A JP,KIOXIA HOLDINGS CORP,股數不變,股數不變,權重持平,0.76,0.76,0.0,37000.0,37000.0,0.0,2019090000.0,2019090000.0,0.0,2026-09-22,2026-09-23
4180 JP,APPIER GROUP INC,股數不變,股數不變,權重持平,0.54,0.54,0.0,950000.0,950000.0,0.0,1440200000.0,1440200000.0,0.0,2026-09-22,2026-09-23
5801 JP,FURUKAWA ELECTRIC CO LTD,股數不變,股數不變,權重持平,0.73,0.73,0.0,500000.0,500000.0,0.0,1950500000.0,1950500000.0,0.0,2026-09-22,2026-09-23
6981 JP,MURATA MANUFACTURING CO LTD,股數不變,股數不變,權重持平,3.93,3.93,0.0,1350000.0,1350000.0,0.0,10480050000.0,10480050000.0,0.0,2026-09-22,2026-09-23
6997 JP,NIPPON CHEMI-CON CORP,股數不變,股數不變,權重持平,1.11,1.11,0.0,1060000.0,1060000.0,0.0,2954220000.0,2954220000.0,0.0,2026-09-22,2026-09-23
NET US,CLOUDFLARE INC - CLASS A,股數不變,股數不變,權重持平,1.71,1.71,0.0,82000.0,82000.0,0.0,28946000.0,28891060.0,-54940.0,2026-09-22,2026-09-23
NTRA US,NATERA INC,股數不變,股數不變,權重持平,0.58,0.58,0.0,25000.0,25000.0,0.0,9772500.0,9769750.0,-2750.0,2026-09-22,2026-09-23
STX US,SEAGATE TECHNOLOGY,股數不變,股數不變,權重持平,1.09,1.09,0.0,20000.0,20000.0,0.0,18396800.0,18477200.0,80400.0,2026-09-22,2026-09-23
