stock_code,stock_name,etf_code,fund_code,current_increase_streak,latest_share_change,streak_total_share_change,latest_shares,latest_weight_pct,streak_start_date,latest_as_of_date,snapshot_count
NTRA US,那提拉公司,00997A,502,1,9000.0,9000.0,9000.0,0.87,2026-09-23,2026-09-23,52
009150 KS,三星電機,00997A,502,0,0.0,0.0,9224.0,2.52,,2026-09-23,52
2308,台達電,00997A,502,0,0.0,0.0,79000.0,1.24,,2026-09-23,52
2327,國巨*,00997A,502,0,0.0,0.0,252000.0,1.11,,2026-09-23,52
2330,台積電,00997A,502,0,0.0,0.0,132000.0,2.57,,2026-09-23,52
2345,智邦,00997A,502,0,0.0,0.0,56000.0,0.9,,2026-09-23,52
2383,台光電,00997A,502,0,0.0,0.0,41000.0,1.6,,2026-09-23,52
2454,聯發科,00997A,502,0,0.0,0.0,25000.0,1.01,,2026-09-23,52
285A JP,鎧俠控股公司,00997A,502,0,0.0,0.0,9182.0,0.78,,2026-09-23,52
3037,欣興,00997A,502,0,0.0,0.0,360000.0,3.25,,2026-09-23,52
4062 JP,揖斐電有限公司,00997A,502,0,0.0,0.0,115764.0,3.55,,2026-09-23,52
5801 JP,古河電氣工業有限公司,00997A,502,0,0.0,0.0,7951.0,0.54,,2026-09-23,52
6640,均華,00997A,502,0,0.0,0.0,105000.0,0.86,,2026-09-23,52
6981 JP,村田製作所有限公司,00997A,502,0,0.0,0.0,223000.0,2.64,,2026-09-23,52
AAPL US,蘋果公司,00997A,502,0,0.0,0.0,25523.0,2.12,,2026-09-23,52
ADBE US,奧多比系統公司,00997A,502,0,0.0,0.0,8282.0,0.52,,2026-09-23,52
ADI US,亞德諾公司,00997A,502,0,0.0,0.0,8777.0,0.84,,2026-09-23,52
ADSK US,歐特克,00997A,502,0,0.0,0.0,5303.0,0.25,,2026-09-23,52
AIXA GY,愛思強股份有限公司,00997A,502,0,0.0,0.0,67671.0,0.9,,2026-09-23,52
ALAB US,Astera實驗室公司,00997A,502,0,0.0,0.0,6551.0,0.5,,2026-09-23,52
AMAT US,應用材料,00997A,502,0,0.0,0.0,17646.0,2.07,,2026-09-23,52
AMD US,ADVANCED MICRO DEVICES,00997A,502,0,0.0,0.0,21148.0,3.21,,2026-09-23,52
AMZN US,亞馬遜公司,00997A,502,0,0.0,0.0,27274.0,1.75,,2026-09-23,52
ANET US,Arista網路公司,00997A,502,0,0.0,0.0,29673.0,1.49,,2026-09-23,52
APH US,安費諾,00997A,502,0,0.0,0.0,52516.0,1.07,,2026-09-23,52
APP US,AppLovin公司,00997A,502,0,0.0,0.0,3145.0,0.26,,2026-09-23,52
ARM US,安謀控股公開有限公司,00997A,502,0,0.0,0.0,16363.0,1.34,,2026-09-23,52
AVGO US,博通公司,00997A,502,0,0.0,0.0,11017.0,0.97,,2026-09-23,52
AXON US,泰瑟國際公司,00997A,502,0,0.0,0.0,3052.0,0.39,,2026-09-23,52
BE US,布魯姆能源公司,00997A,502,0,0.0,0.0,20698.0,1.41,,2026-09-23,52
BESI NA,BE SEMICONDUCTOR,00997A,502,0,0.0,0.0,15000.0,1.05,,2026-09-23,52
CDNS US,Cadence設計系統公司,00997A,502,0,0.0,0.0,4405.0,0.34,,2026-09-23,52
CIEN US,喜雅納公司,00997A,502,0,0.0,0.0,20397.0,1.79,,2026-09-23,52
COHR US,連貫公司,00997A,502,0,0.0,0.0,9022.0,0.67,,2026-09-23,52
CRDO US,Credo科技集團控股有限公司,00997A,502,0,0.0,0.0,10234.0,0.43,,2026-09-23,52
CRWD US,Crowdstrike控股公司,00997A,502,0,0.0,0.0,63557.0,4.12,,2026-09-23,52
CSCO US,CISCO SYSTEMS INC,00997A,502,0,0.0,0.0,31992.0,0.84,,2026-09-23,52
DDOG US,數據狗公司,00997A,502,0,0.0,0.0,11884.0,0.74,,2026-09-23,52
DE US,迪爾,00997A,502,0,0.0,0.0,7067.0,1.24,,2026-09-23,52
DELL US,戴爾科技公司,00997A,502,0,0.0,0.0,17000.0,2.31,,2026-09-23,52
DT US,Dynatrace公司,00997A,502,0,0.0,0.0,174101.0,2.52,,2026-09-23,52
EBAY US,電子灣拍賣網站公司,00997A,502,0,0.0,0.0,33326.0,0.86,,2026-09-23,52
EW US,愛德華生命科學,00997A,502,0,0.0,0.0,36953.0,0.72,,2026-09-23,52
FTNT US,防特網公司,00997A,502,0,0.0,0.0,48626.0,2.15,,2026-09-23,52
GE US,奇異公司,00997A,502,0,0.0,0.0,10935.0,0.86,,2026-09-23,52
GEV US,奇異維諾瓦公司,00997A,502,0,0.0,0.0,2044.0,0.48,,2026-09-23,52
GLW US,康寧公司,00997A,502,0,0.0,0.0,25793.0,1.01,,2026-09-23,52
GOOGL US,ALPHABET INC-CL A,00997A,502,0,0.0,0.0,20392.0,1.7,,2026-09-23,52
HOOD US,羅賓漢市場公司,00997A,502,0,0.0,0.0,27483.0,0.83,,2026-09-23,52
HWM US,Howmet航太公司,00997A,502,0,0.0,0.0,15147.0,0.86,,2026-09-23,52
IFX GY,英飛凌科技股份有限公司,00997A,502,0,0.0,0.0,48000.0,1.1,,2026-09-23,52
INTC US,英特爾,00997A,502,0,0.0,0.0,100161.0,3.03,,2026-09-23,52
IOT US,森萬聯有限公司,00997A,502,0,0.0,0.0,60455.0,0.57,,2026-09-23,52
KEYS US,是德科技公司,00997A,502,0,0.0,0.0,8196.0,0.68,,2026-09-23,52
KLAC US,KLA CORP,00997A,502,0,0.0,0.0,11245.0,0.52,,2026-09-23,52
LITE US,魯門特姆控股公司,00997A,502,0,0.0,0.0,14776.0,3.42,,2026-09-23,52
LMT US,洛克希德馬丁,00997A,502,0,0.0,0.0,4854.0,0.63,,2026-09-23,52
LRCX US,科林研發股份有限公司,00997A,502,0,0.0,0.0,26938.0,2.04,,2026-09-23,52
META US,Meta平台公司,00997A,502,0,0.0,0.0,5236.0,0.88,,2026-09-23,52
MPWR US,芯源系統有限公司,00997A,502,0,0.0,0.0,1799.0,0.54,,2026-09-23,52
MRK US,默克藥廠,00997A,502,0,0.0,0.0,65967.0,2.41,,2026-09-23,52
MRVL US,Marvell Technology Inc,00997A,502,0,0.0,0.0,56385.0,3.63,,2026-09-23,52
MSFT US,微軟公司,00997A,502,0,0.0,0.0,10586.0,1.31,,2026-09-23,52
MU US,美光科技公司,00997A,502,0,0.0,0.0,17905.0,4.74,,2026-09-23,52
NBIS US,尼比厄斯集團公眾有限公司,00997A,502,0,0.0,0.0,16000.0,0.7,,2026-09-23,52
NOK US,諾基亞,00997A,502,0,0.0,0.0,220000.0,0.58,,2026-09-23,52
NOW US,ServiceNow公司,00997A,502,0,0.0,0.0,55353.0,1.92,,2026-09-23,52
NVDA US,輝達公司,00997A,502,0,0.0,0.0,58576.0,3.26,,2026-09-23,52
OKTA US,Okta公司,00997A,502,0,0.0,0.0,36882.0,1.87,,2026-09-23,52
PANW US,Palo Alto Networks Inc,00997A,502,0,0.0,0.0,25679.0,2.49,,2026-09-23,52
PLTR US,帕蘭提爾科技公司,00997A,502,0,0.0,0.0,23556.0,1.12,,2026-09-23,52
RTX US,雷神科技公司,00997A,502,0,0.0,0.0,35894.0,1.82,,2026-09-23,52
SNDK US,晟碟公司（德拉瓦州）,00997A,502,0,0.0,0.0,9760.0,4.38,,2026-09-23,52
SNOW US,Snowflake公司,00997A,502,0,0.0,0.0,27997.0,2.32,,2026-09-23,52
SPCX US,太空探索科技公司,00997A,502,0,0.0,0.0,21093.0,0.77,,2026-09-23,52
STMPA FP,意法半導體公司,00997A,502,0,0.0,0.0,24826.0,0.35,,2026-09-23,52
STX US,希捷科技控股公開有限公司,00997A,502,0,0.0,0.0,14885.0,3.4,,2026-09-23,52
TDC US,天睿資訊公司,00997A,502,0,0.0,0.0,39406.0,0.3,,2026-09-23,52
TER US,泰瑞達公司,00997A,502,0,0.0,0.0,13245.0,1.25,,2026-09-23,52
TSLA US,特斯拉公司,00997A,502,0,0.0,0.0,10491.0,0.97,,2026-09-23,52
TTMI US,TTM科技公司,00997A,502,0,0.0,0.0,33991.0,1.47,,2026-09-23,52
TWLO US,Twilio公司,00997A,502,0,0.0,0.0,15000.0,0.92,,2026-09-23,52
TXN US,德州儀器公司,00997A,502,0,0.0,0.0,9954.0,0.67,,2026-09-23,52
VRT US,維諦控股公司,00997A,502,0,0.0,0.0,12136.0,0.75,,2026-09-23,52
WDC US,WESTERN DIGITAL CORP,00997A,502,0,0.0,0.0,19006.0,2.22,,2026-09-23,52
YOU US,Clear Secure Inc,00997A,502,0,0.0,0.0,52461.0,0.64,,2026-09-23,52
