stock_code,stock_name,etf_code,fund_code,current_increase_streak,latest_share_change,streak_total_share_change,latest_shares,latest_weight_pct,streak_start_date,latest_as_of_date,snapshot_count
1216,統一,00994A,182,0,0.0,0.0,50000.0,0.08,,2026-09-08,40
1303,南亞,00994A,182,0,0.0,0.0,460000.0,2.33,,2026-09-08,40
2059,川湖,00994A,182,0,0.0,0.0,18001.0,4.86,,2026-09-08,40
2303,聯電,00994A,182,0,0.0,0.0,260000.0,0.77,,2026-09-08,40
2308,台達電,00994A,182,0,0.0,0.0,58499.0,2.28,,2026-09-08,40
2317,鴻海,00994A,182,0,0.0,0.0,1000.0,0.01,,2026-09-08,40
2327,國巨*,00994A,182,0,0.0,0.0,36000.0,0.4,,2026-09-08,40
2330,台積電,00994A,182,0,0.0,0.0,271999.0,14.47,,2026-09-08,40
2344,華邦電,00994A,182,0,0.0,0.0,250000.0,0.85,,2026-09-08,40
2345,智邦,00994A,182,0,0.0,0.0,49000.0,2.06,,2026-09-08,40
2360,致茂,00994A,182,0,0.0,0.0,12000.0,0.59,,2026-09-08,40
2368,金像電,00994A,182,0,0.0,0.0,16000.0,0.37,,2026-09-08,40
2376,技嘉,00994A,182,0,0.0,0.0,80000.0,0.53,,2026-09-08,40
2382,廣達,00994A,182,0,0.0,0.0,70000.0,0.46,,2026-09-08,40
2383,台光電,00994A,182,0,0.0,0.0,59001.0,6.79,,2026-09-08,40
2395,研華,00994A,182,0,0.0,0.0,20000.0,0.17,,2026-09-08,40
2404,漢唐,00994A,182,0,0.0,0.0,1000.0,0.02,,2026-09-08,40
2408,南亞科,00994A,182,0,0.0,0.0,175000.0,2.0,,2026-09-08,40
2412,中華電,00994A,182,0,0.0,0.0,1.0,0.0,,2026-09-08,40
2449,京元電子,00994A,182,0,0.0,0.0,150000.0,0.87,,2026-09-08,40
2454,聯發科,00994A,182,0,0.0,0.0,69001.0,7.0,,2026-09-08,40
2467,志聖,00994A,182,0,0.0,0.0,10.0,0.0,,2026-09-08,40
2481,強茂,00994A,182,0,0.0,0.0,290000.0,0.95,,2026-09-08,40
2801,彰銀,00994A,182,0,0.0,0.0,40000.0,0.02,,2026-09-08,40
2882,國泰金,00994A,182,0,0.0,0.0,130000.0,0.32,,2026-09-08,40
2886,兆豐金,00994A,182,0,0.0,0.0,100000.0,0.11,,2026-09-08,40
2912,統一超,00994A,182,0,0.0,0.0,1000.0,0.0,,2026-09-08,40
3008,大立光,00994A,182,0,0.0,0.0,8000.0,0.66,,2026-09-08,40
3017,奇鋐,00994A,182,0,0.0,0.0,105500.0,7.47,,2026-09-08,40
3026,禾伸堂,00994A,182,0,0.0,0.0,18000.0,0.33,,2026-09-08,40
3036,文曄,00994A,182,0,0.0,0.0,180000.0,0.73,,2026-09-08,40
3037,欣興,00994A,182,0,0.0,0.0,206001.0,4.23,,2026-09-08,40
3044,健鼎,00994A,182,0,0.0,0.0,10000.0,0.09,,2026-09-08,40
3045,台灣大,00994A,182,0,0.0,0.0,151000.0,0.38,,2026-09-08,40
3081,聯亞,00994A,182,0,0.0,0.0,23000.0,1.42,,2026-09-08,40
3105,穩懋,00994A,182,0,0.0,0.0,55000.0,0.5,,2026-09-08,40
3131,弘塑,00994A,182,0,0.0,0.0,6000.0,0.39,,2026-09-08,40
3189,景碩,00994A,182,0,0.0,0.0,95000.0,1.64,,2026-09-08,40
3231,緯創,00994A,182,0,0.0,0.0,111000.0,0.45,,2026-09-08,40
3443,創意,00994A,182,0,0.0,0.0,19050.0,2.45,,2026-09-08,40
3491,昇達科,00994A,182,0,0.0,0.0,20000.0,0.64,,2026-09-08,40
3533,嘉澤,00994A,182,0,0.0,0.0,10000.0,0.46,,2026-09-08,40
3653,健策,00994A,182,0,0.0,0.0,25000.0,2.99,,2026-09-08,40
3661,世芯-KY,00994A,182,0,0.0,0.0,4000.0,0.35,,2026-09-08,40
3665,貿聯-KY,00994A,182,0,0.0,0.0,13000.0,0.54,,2026-09-08,40
3711,日月光投控,00994A,182,0,0.0,0.0,123002.0,1.64,,2026-09-08,40
4904,遠傳,00994A,182,0,0.0,0.0,2003.0,0.0,,2026-09-08,40
4958,臻鼎-KY,00994A,182,0,0.0,0.0,43000.0,0.4,,2026-09-08,40
5274,信驊,00994A,182,0,0.0,0.0,6420.0,2.66,,2026-09-08,40
5347,世界,00994A,182,0,0.0,0.0,210000.0,0.67,,2026-09-08,40
5483,中美晶,00994A,182,0,0.0,0.0,230000.0,0.84,,2026-09-08,40
6147,頎邦,00994A,182,0,0.0,0.0,38000.0,0.15,,2026-09-08,40
6187,萬潤,00994A,182,0,0.0,0.0,39000.0,1.16,,2026-09-08,40
6223,旺矽,00994A,182,0,0.0,0.0,39901.0,4.98,,2026-09-08,40
6239,力成,00994A,182,0,0.0,0.0,175000.0,1.04,,2026-09-08,40
6257,矽格,00994A,182,0,0.0,0.0,60000.0,0.27,,2026-09-08,40
6274,台燿,00994A,182,0,0.0,0.0,158000.0,4.58,,2026-09-08,40
6285,啟碁,00994A,182,0,0.0,0.0,70000.0,0.38,,2026-09-08,40
6488,環球晶,00994A,182,0,0.0,0.0,41000.0,0.84,,2026-09-08,40
6510,精測,00994A,182,0,0.0,0.0,5000.0,0.31,,2026-09-08,40
6515,穎崴,00994A,182,0,0.0,0.0,3000.0,0.5,,2026-09-08,40
6669,緯穎,00994A,182,0,0.0,0.0,83518.0,4.21,,2026-09-08,40
6805,富世達,00994A,182,0,0.0,0.0,30000.0,1.39,,2026-09-08,40
7769,鴻勁,00994A,182,0,0.0,0.0,11000.0,1.65,,2026-09-08,40
8046,南電,00994A,182,0,0.0,0.0,110000.0,2.43,,2026-09-08,40
8210,勤誠,00994A,182,0,0.0,0.0,14000.0,0.32,,2026-09-08,40
8299,群聯,00994A,182,0,0.0,0.0,8000.0,0.35,,2026-09-08,40
8436,大江,00994A,182,0,0.0,0.0,1000.0,0.0,,2026-09-08,40
8996,高力,00994A,182,0,0.0,0.0,36000.0,0.95,,2026-09-08,40
9941,裕融,00994A,182,0,0.0,0.0,7260.0,0.01,,2026-09-08,40
