stock_code,stock_name,status,share_status,weight_status,old_weight_pct,new_weight_pct,weight_change_pct,old_shares,new_shares,share_change,old_market_value,new_market_value,market_value_change,old_as_of_datetime,new_as_of_datetime
3008,大立光,股數減少,股數減少,權重降低,2.12,1.55,-0.57,536000.0,380000.0,-156000.0,3213320000.0,2300900000.0,-912420000.0,2026-09-14,2026-09-15
3711,日月光投控,股數減少,股數減少,權重降低,0.81,0.4,-0.41,2000000.0,1000000.0,-1000000.0,1224000000.0,592000000.0,-632000000.0,2026-09-14,2026-09-15
2330,台積電,股數不變,股數不變,權重增加,15.36,15.71,0.35,9800000.0,9800000.0,0.0,23324000000.0,23373000000.0,49000000.0,2026-09-14,2026-09-15
3653,健策,股數不變,股數不變,權重降低,4.27,3.98,-0.29,1115000.0,1115000.0,0.0,6489300000.0,5920650000.0,-568650000.0,2026-09-14,2026-09-15
3017,奇鋐,股數不變,股數不變,權重降低,6.21,5.97,-0.24,2850000.0,2850000.0,0.0,9433500000.0,8877750000.0,-555750000.0,2026-09-14,2026-09-15
8046,南電,股數增加,股數增加,權重增加,1.83,2.02,0.19,2640000.0,2770000.0,130000.0,2785200000.0,3005450000.0,220250000.0,2026-09-14,2026-09-15
2308,台達電,股數不變,股數不變,權重增加,2.93,3.09,0.16,2750000.0,2750000.0,0.0,4455000000.0,4592500000.0,137500000.0,2026-09-14,2026-09-15
2383,台光電,股數不變,股數不變,權重降低,5.63,5.5,-0.13,1600000.0,1600000.0,0.0,8552000000.0,8184000000.0,-368000000.0,2026-09-14,2026-09-15
6669,緯穎,股數不變,股數不變,權重增加,2.97,3.09,0.12,1987956.0,1987956.0,0.0,4512660120.0,4602118140.0,89458020.0,2026-09-14,2026-09-15
3189,景碩,股數增加,股數增加,權重增加,1.87,1.98,0.11,3550000.0,3700000.0,150000.0,2832900000.0,2941500000.0,108600000.0,2026-09-14,2026-09-15
3443,創意,股數不變,股數不變,權重降低,2.61,2.51,-0.1,620000.0,620000.0,0.0,3968000000.0,3741700000.0,-226300000.0,2026-09-14,2026-09-15
