stock_code,stock_name,etf_code,fund_code,current_increase_streak,latest_share_change,streak_total_share_change,latest_shares,latest_weight_pct,streak_start_date,latest_as_of_date,snapshot_count
2303,聯華電子,00991A,ETF23,1,10391000.0,10391000.0,10400000.0,2.037,2026-09-17,2026-09-17,63
1303,南亞塑膠,00991A,ETF23,1,6700000.0,6700000.0,6700000.0,2.099,2026-09-17,2026-09-17,63
1216,統一企業,00991A,ETF23,0,0.0,0.0,1000.0,0.0,,2026-09-17,63
1519,華城電機,00991A,ETF23,0,0.0,0.0,1000.0,0.001,,2026-09-17,63
1590,亞德客-KY,00991A,ETF23,0,0.0,0.0,1000.0,0.002,,2026-09-17,63
2059,川湖科技,00991A,ETF23,0,0.0,0.0,500000.0,8.161,,2026-09-17,63
2308,台達電子,00991A,ETF23,0,0.0,0.0,1000.0,0.002,,2026-09-17,63
2313,華通電腦,00991A,ETF23,0,0.0,0.0,1253.0,0.0,,2026-09-17,63
2317,鴻海精密,00991A,ETF23,0,0.0,0.0,9000.0,0.003,,2026-09-17,63
2327,國巨股份,00991A,ETF23,0,0.0,0.0,7500000.0,5.267,,2026-09-17,63
2330,台灣積體,00991A,ETF23,0,0.0,0.0,3800000.0,12.234,,2026-09-17,63
2337,旺宏電子,00991A,ETF23,0,0.0,0.0,9000.0,0.002,,2026-09-17,63
2344,華邦電子,00991A,ETF23,0,0.0,0.0,4800000.0,1.078,,2026-09-17,63
2357,華碩電腦,00991A,ETF23,0,0.0,0.0,1000.0,0.001,,2026-09-17,63
2360,致茂電子,00991A,ETF23,0,0.0,0.0,1000.0,0.003,,2026-09-17,63
2368,金像電子,00991A,ETF23,0,0.0,0.0,9000.0,0.011,,2026-09-17,63
2379,瑞昱半導,00991A,ETF23,0,0.0,0.0,1000.0,0.001,,2026-09-17,63
2382,廣達電腦,00991A,ETF23,0,0.0,0.0,9000.0,0.004,,2026-09-17,63
2383,台光電子,00991A,ETF23,0,0.0,0.0,1380000.0,8.602,,2026-09-17,63
2404,漢唐集成,00991A,ETF23,0,0.0,0.0,1000.0,0.001,,2026-09-17,63
2408,南亞科技,00991A,ETF23,0,0.0,0.0,13800000.0,8.94,,2026-09-17,63
2412,中華電信,00991A,ETF23,0,0.0,0.0,1000.0,0.0,,2026-09-17,63
2449,京元電子,00991A,ETF23,0,0.0,0.0,1450.0,0.001,,2026-09-17,63
2454,聯發科技,00991A,ETF23,0,0.0,0.0,1080000.0,6.452,,2026-09-17,63
2492,華新科技,00991A,ETF23,0,0.0,0.0,3600000.0,2.028,,2026-09-17,63
2603,長榮海運,00991A,ETF23,0,0.0,0.0,9000.0,0.003,,2026-09-17,63
2880,華南金融,00991A,ETF23,0,0.0,0.0,9090.0,0.001,,2026-09-17,63
2881,富邦金融,00991A,ETF23,0,0.0,0.0,9000.0,0.002,,2026-09-17,63
2882,國泰金融,00991A,ETF23,0,0.0,0.0,9000.0,0.001,,2026-09-17,63
2883,凱基金融,00991A,ETF23,0,0.0,0.0,9000.0,0.0,,2026-09-17,63
2884,玉山金融,00991A,ETF23,0,0.0,0.0,9000.0,0.001,,2026-09-17,63
2885,元大金融,00991A,ETF23,0,0.0,0.0,9360.0,0.001,,2026-09-17,63
2886,兆豐金融,00991A,ETF23,0,0.0,0.0,9000.0,0.001,,2026-09-17,63
2887,台新新光,00991A,ETF23,0,0.0,0.0,9000.0,0.001,,2026-09-17,63
2890,永豐金融,00991A,ETF23,0,0.0,0.0,9000.0,0.001,,2026-09-17,63
2891,中國信託,00991A,ETF23,0,0.0,0.0,9000.0,0.001,,2026-09-17,63
3008,大立光電,00991A,ETF23,0,0.0,0.0,1000.0,0.008,,2026-09-17,63
3017,奇鋐科技,00991A,ETF23,0,0.0,0.0,1250000.0,5.285,,2026-09-17,63
3026,禾伸堂企,00991A,ETF23,0,0.0,0.0,2700000.0,2.724,,2026-09-17,63
3036,文曄科技,00991A,ETF23,0,0.0,0.0,1000.0,0.0,,2026-09-17,63
3037,欣興電子,00991A,ETF23,0,0.0,0.0,5100000.0,6.364,,2026-09-17,63
3042,台灣晶技,00991A,ETF23,0,0.0,0.0,9000.0,0.002,,2026-09-17,63
3044,健鼎科技,00991A,ETF23,0,0.0,0.0,1000.0,0.001,,2026-09-17,63
3045,台灣大哥,00991A,ETF23,0,0.0,0.0,1000.0,0.0,,2026-09-17,63
3081,聯亞光電,00991A,ETF23,0,0.0,0.0,900000.0,3.25,,2026-09-17,63
3189,景碩科技,00991A,ETF23,0,0.0,0.0,4250000.0,4.542,,2026-09-17,63
3231,緯創資通,00991A,ETF23,0,0.0,0.0,9000.0,0.002,,2026-09-17,63
3324,雙鴻科技,00991A,ETF23,0,0.0,0.0,1000.0,0.001,,2026-09-17,63
3653,健策精密,00991A,ETF23,0,0.0,0.0,290000.0,2.062,,2026-09-17,63
3665,貿聯-KY,00991A,ETF23,0,0.0,0.0,1000.0,0.003,,2026-09-17,63
3711,日月光投,00991A,ETF23,0,0.0,0.0,2500000.0,2.038,,2026-09-17,63
4958,臻鼎-KY,00991A,ETF23,0,0.0,0.0,9000.0,0.006,,2026-09-17,63
5274,信驊科技,00991A,ETF23,0,0.0,0.0,140500.0,3.409,,2026-09-17,63
5347,世界先進,00991A,ETF23,0,0.0,0.0,9000.0,0.002,,2026-09-17,63
6223,旺矽科技,00991A,ETF23,0,0.0,0.0,450000.0,3.286,,2026-09-17,63
6510,中華精測,00991A,ETF23,0,0.0,0.0,1000.0,0.004,,2026-09-17,63
